id_performance,id_employe,date_evaluation,score,objectifs_atteints
1,1,2022-01-01,75,True
2,1,2022-04-01,60,False
3,1,2022-07-01,51,True
4,1,2022-10-01,57,True
5,1,2023-01-01,60,True
6,1,2023-04-01,67,True
7,1,2023-07-01,99,False
8,1,2023-10-01,59,True
9,1,2024-01-01,58,True
10,1,2024-04-01,60,True
11,1,2024-07-01,93,False
12,1,2024-10-01,52,True
13,2,2022-01-01,88,False
14,2,2022-04-01,77,True
15,2,2022-07-01,88,True
16,2,2022-10-01,70,False
17,2,2023-01-01,92,True
18,2,2023-04-01,68,False
19,2,2023-07-01,71,True
20,2,2023-10-01,93,False
21,2,2024-01-01,99,True
22,2,2024-04-01,62,True
23,2,2024-07-01,53,False
24,2,2024-10-01,63,False
25,3,2022-01-01,58,True
26,3,2022-04-01,84,True
27,3,2022-07-01,70,False
28,3,2022-10-01,67,True
29,3,2023-01-01,57,True
30,3,2023-04-01,98,False
31,3,2023-07-01,66,True
32,3,2023-10-01,80,False
33,3,2024-01-01,55,False
34,3,2024-04-01,63,True
35,3,2024-07-01,61,False
36,3,2024-10-01,61,True
37,4,2022-01-01,51,False
38,4,2022-04-01,64,True
39,4,2022-07-01,78,True
40,4,2022-10-01,81,True
41,4,2023-01-01,79,False
42,4,2023-04-01,63,False
43,4,2023-07-01,79,True
44,4,2023-10-01,81,False
45,4,2024-01-01,55,True
46,4,2024-04-01,73,False
47,4,2024-07-01,76,False
48,4,2024-10-01,73,True
49,5,2022-01-01,73,False
50,5,2022-04-01,83,False
51,5,2022-07-01,96,True
52,5,2022-10-01,60,False
53,5,2023-01-01,73,True
54,5,2023-04-01,67,False
55,5,2023-07-01,61,True
56,5,2023-10-01,92,False
57,5,2024-01-01,89,False
58,5,2024-04-01,56,True
59,5,2024-07-01,70,False
60,5,2024-10-01,60,False
61,6,2022-01-01,91,True
62,6,2022-04-01,78,False
63,6,2022-07-01,77,True
64,6,2022-10-01,67,False
65,6,2023-01-01,67,False
66,6,2023-04-01,73,False
67,6,2023-07-01,91,False
68,6,2023-10-01,94,True
69,6,2024-01-01,57,False
70,6,2024-04-01,76,False
71,6,2024-07-01,54,True
72,6,2024-10-01,98,False
