"nom","nom_departement","performance"
"Nom_675","Ressources Humaines",50
"Nom_1189","Informatique",50
"Nom_927","Direction Générale",50
"Nom_908","Ventes",50
"Nom_1096","Juridique",50
"Nom_327","Data & Analytics",50
"Nom_358","Ressources Humaines",50
"Nom_990","Service Client",50
"Nom_1122","Juridique",50
"Nom_799","Informatique",50
"Nom_458","Ressources Humaines",50
"Nom_1484","Informatique",50
"Nom_1184","Direction Générale",50
"Nom_409","Ventes",50
"Nom_522","Marketing",50
"Nom_382","Marketing",50
"Nom_1021","Marketing",50
"Nom_1314","Informatique",50
"Nom_131","Data & Analytics",50
"Nom_166","Ressources Humaines",50
"Nom_587","Service Client",50
"Nom_385","Data & Analytics",50
"Nom_1457","Data & Analytics",50
"Nom_194","Data & Analytics",50
"Nom_746","Direction Générale",50
"Nom_387","Ressources Humaines",50
"Nom_652","Finance",50
"Nom_410","Informatique",50
"Nom_565","Ressources Humaines",50
"Nom_1143","Juridique",50
"Nom_339","Marketing",50
"Nom_484","Direction Générale",50
"Nom_504","Ventes",50
"Nom_1300","Service Client",50
"Nom_1309","Informatique",50
"Nom_895","Direction Générale",50
"Nom_1489","Ventes",50
"Nom_218","Direction Générale",50
"Nom_371","Service Client",50
"Nom_626","Ressources Humaines",50
"Nom_172","Finance",50
"Nom_835","Direction Générale",50
"Nom_83","Opérations",50
"Nom_1182","Ressources Humaines",50
"Nom_558","Marketing",50
"Nom_872","Ventes",50
"Nom_611","Juridique",50
"Nom_1268","Finance",50
"Nom_421","Ressources Humaines",50
"Nom_1485","Informatique",50
"Nom_945","Opérations",50
"Nom_1230","Service Client",50
"Nom_994","Juridique",50
"Nom_379","Ressources Humaines",50
"Nom_579","Informatique",50
"Nom_933","Finance",50
"Nom_556","Ventes",50
"Nom_662","Opérations",50
"Nom_762","Marketing",50
"Nom_552","Finance",50
"Nom_334","Data & Analytics",50
"Nom_649","Finance",50
"Nom_1083","Data & Analytics",50
"Nom_580","Finance",50
"Nom_645","Ventes",50
"Nom_359","Opérations",50
"Nom_438","Informatique",50
"Nom_1090","Opérations",50
"Nom_1102","Direction Générale",50
"Nom_885","Service Client",50
"Nom_86","Data & Analytics",50
"Nom_384","Opérations",50
"Nom_1474","Direction Générale",50
"Nom_1053","Service Client",50
"Nom_1278","Direction Générale",50
"Nom_1313","Ventes",50
"Nom_1064","Data & Analytics",50
"Nom_251","Data & Analytics",50
"Nom_1357","Finance",50
"Nom_1364","Direction Générale",50
"Nom_114","Juridique",50
"Nom_1162","Ventes",50
"Nom_808","Informatique",50
"Nom_1339","Ressources Humaines",50
"Nom_601","Service Client",50
"Nom_1068","Service Client",50
"Nom_398","Finance",50
"Nom_149","Informatique",50
"Nom_777","Service Client",50
"Nom_1362","Data & Analytics",50
"Nom_96","Ventes",50
"Nom_877","Finance",50
"Nom_158","Finance",50
"Nom_163","Juridique",50
"Nom_599","Informatique",50
"Nom_244","Opérations",50
"Nom_1445","Ventes",50
"Nom_1403","Informatique",50
"Nom_1008","Informatique",50
"Nom_232","Service Client",50
"Nom_1305","Ventes",50
"Nom_1338","Ressources Humaines",50
"Nom_1295","Opérations",50
"Nom_659","Finance",50
"Nom_470","Data & Analytics",50
"Nom_447","Ressources Humaines",50
"Nom_751","Direction Générale",50
"Nom_1382","Finance",50
"Nom_731","Juridique",50
"Nom_1121","Marketing",50
"Nom_813","Direction Générale",50
"Nom_1447","Marketing",50
"Nom_647","Opérations",50
"Nom_1456","Informatique",50
"Nom_562","Juridique",50
"Nom_633","Opérations",50
"Nom_1264","Ventes",50
"Nom_271","Juridique",50
"Nom_1058","Marketing",50
"Nom_1256","Data & Analytics",50
"Nom_223","Informatique",50
"Nom_85","Juridique",50
"Nom_596","Opérations",50
"Nom_1075","Informatique",50
"Nom_1359","Data & Analytics",50
"Nom_1174","Data & Analytics",50
"Nom_509","Ressources Humaines",50
"Nom_1237","Ressources Humaines",50
"Nom_1151","Ressources Humaines",50
"Nom_922","Ventes",50
"Nom_851","Service Client",50
"Nom_360","Informatique",50
"Nom_102","Opérations",50
"Nom_121","Data & Analytics",50
"Nom_144","Juridique",50
"Nom_615","Juridique",50
"Nom_1422","Opérations",50
"Nom_1487","Ventes",50
"Nom_947","Juridique",50
"Nom_1368","Juridique",50
"Nom_736","Informatique",50
"Nom_1325","Informatique",50
"Nom_570","Ventes",50
"Nom_1141","Direction Générale",50
"Nom_31","Ventes",50
"Nom_1006","Service Client",50
"Nom_395","Finance",50
"Nom_710","Juridique",50
"Nom_604","Ventes",50
"Nom_917","Marketing",50
"Nom_949","Juridique",50
"Nom_503","Ressources Humaines",50
"Nom_299","Ventes",50
"Nom_302","Finance",50
"Nom_300","Informatique",50
"Nom_1395","Opérations",50
"Nom_430","Data & Analytics",50
"Nom_1494","Service Client",50
"Nom_443","Direction Générale",50
"Nom_568","Direction Générale",50
"Nom_277","Opérations",50
"Nom_463","Informatique",50
"Nom_268","Informatique",50
"Nom_683","Juridique",50
"Nom_1258","Data & Analytics",50
"Nom_265","Marketing",50
"Nom_1499","Marketing",50
"Nom_1208","Marketing",50
"Nom_1146","Data & Analytics",50
"Nom_829","Ressources Humaines",50
"Nom_330","Ventes",50
"Nom_1034","Juridique",50
"Nom_1451","Finance",50
"Nom_624","Service Client",50
"Nom_1000","Opérations",50
"Nom_1144","Ressources Humaines",50
"Nom_713","Ressources Humaines",50
"Nom_1333","Opérations",50
"Nom_473","Ressources Humaines",50
"Nom_715","Direction Générale",50
"Nom_595","Ressources Humaines",50
"Nom_1392","Ventes",50
"Nom_898","Juridique",50
"Nom_1138","Finance",50
"Nom_827","Informatique",50
"Nom_221","Ventes",50
"Nom_151","Marketing",50
"Nom_1072","Informatique",50
"Nom_140","Ventes",50
"Nom_843","Direction Générale",50
"Nom_717","Ventes",50
"Nom_192","Marketing",50
"Nom_524","Data & Analytics",50
"Nom_974","Data & Analytics",50
"Nom_448","Opérations",50
"Nom_418","Direction Générale",50
"Nom_1167","Juridique",50
"Nom_70","Data & Analytics",50
"Nom_842","Opérations",50
"Nom_422","Juridique",50
"Nom_1253","Marketing",50
"Nom_208","Data & Analytics",50
"Nom_670","Ventes",50
"Nom_1062","Data & Analytics",50
"Nom_112","Ventes",50
"Nom_1381","Marketing",50
"Nom_169","Ressources Humaines",50
"Nom_1459","Ressources Humaines",50
"Nom_906","Ressources Humaines",50
"Nom_78","Informatique",50
"Nom_501","Ressources Humaines",50
"Nom_1378","Data & Analytics",50
"Nom_862","Service Client",50
"Nom_944","Informatique",50
"Nom_180","Ressources Humaines",50
"Nom_803","Ventes",50
"Nom_336","Direction Générale",50
"Nom_819","Opérations",50
"Nom_817","Marketing",50
"Nom_446","Data & Analytics",50
"Nom_1145","Data & Analytics",50
"Nom_366","Service Client",50
"Nom_1204","Opérations",50
"Nom_1179","Ressources Humaines",50
"Nom_863","Data & Analytics",50
"Nom_1098","Ventes",50
"Nom_1193","Direction Générale",50
"Nom_254","Finance",50
"Nom_688","Direction Générale",50
"Nom_108","Marketing",50
"Nom_1206","Marketing",50
"Nom_709","Finance",50
"Nom_689","Direction Générale",50
"Nom_119","Marketing",50
"Nom_1477","Direction Générale",50
"Nom_27","Direction Générale",50
"Nom_1073","Marketing",50
"Nom_648","Informatique",50
"Nom_679","Informatique",50
"Nom_39","Opérations",50
"Nom_411","Opérations",50
"Nom_530","Data & Analytics",50
"Nom_928","Marketing",50
"Nom_1428","Ventes",50
"Nom_490","Marketing",50
"Nom_454","Data & Analytics",50
"Nom_1397","Direction Générale",50
"Nom_541","Marketing",50
"Nom_1046","Informatique",50
"Nom_531","Informatique",50
"Nom_725","Ventes",50
"Nom_1142","Ventes",50
"Nom_1296","Direction Générale",50
"Nom_457","Ressources Humaines",50
"Nom_445","Ventes",50
"Nom_235","Data & Analytics",50
"Nom_1442","Juridique",50
"Nom_643","Finance",50
"Nom_1024","Ressources Humaines",50
"Nom_1078","Data & Analytics",50
"Nom_1285","Juridique",50
"Nom_726","Marketing",50
"Nom_1318","Ressources Humaines",50
"Nom_141","Informatique",50
"Nom_1227","Service Client",50
"Nom_545","Marketing",50
"Nom_1458","Marketing",50
"Nom_516","Direction Générale",50
"Nom_1415","Finance",50
"Nom_809","Juridique",50
"Nom_1218","Finance",50
"Nom_286","Data & Analytics",50
"Nom_1160","Opérations",50
"Nom_1423","Data & Analytics",50
"Nom_669","Service Client",50
"Nom_821","Ventes",50
"Nom_95","Data & Analytics",50
"Nom_167","Marketing",50
"Nom_181","Opérations",50
"Nom_499","Finance",50
"Nom_1330","Ventes",50
"Nom_1433","Service Client",50
"Nom_771","Service Client",50
"Nom_682","Juridique",50
"Nom_1069","Juridique",50
"Nom_965","Finance",50
"Nom_1262","Service Client",50
"Nom_40","Opérations",50
"Nom_210","Opérations",50
"Nom_1117","Marketing",50
"Nom_440","Juridique",50
"Nom_1040","Finance",50
"Nom_536","Ventes",50
"Nom_309","Service Client",50
"Nom_36","Informatique",50
"Nom_338","Marketing",50
"Nom_403","Service Client",50
"Nom_474","Data & Analytics",50
"Nom_985","Marketing",50
"Nom_42","Direction Générale",50
"Nom_486","Finance",50
"Nom_1211","Informatique",50
"Nom_51","Data & Analytics",50
"Nom_1039","Ventes",50
"Nom_783","Juridique",50
"Nom_419","Marketing",50
"Nom_671","Service Client",50
"Nom_1016","Direction Générale",50
"Nom_492","Marketing",50
"Nom_375","Finance",50
"Nom_48","Data & Analytics",50
"Nom_544","Opérations",50
"Nom_396","Informatique",50
"Nom_608","Direction Générale",51
"Nom_134","Marketing",51
"Nom_651","Ventes",51
"Nom_1215","Data & Analytics",51
"Nom_1289","Informatique",51
"Nom_1014","Ressources Humaines",51
"Nom_748","Juridique",51
"Nom_555","Marketing",51
"Nom_1169","Finance",51
"Nom_823","Data & Analytics",51
"Nom_416","Ressources Humaines",51
"Nom_214","Ressources Humaines",51
"Nom_68","Ressources Humaines",51
"Nom_940","Finance",51
"Nom_792","Finance",51
"Nom_1107","Marketing",51
"Nom_113","Informatique",51
"Nom_528","Informatique",51
"Nom_1246","Ventes",51
"Nom_1100","Marketing",51
"Nom_508","Juridique",51
"Nom_184","Informatique",51
"Nom_348","Juridique",51
"Nom_253","Opérations",51
"Nom_1413","Marketing",51
"Nom_266","Data & Analytics",51
"Nom_1306","Data & Analytics",51
"Nom_1229","Finance",51
"Nom_692","Ventes",51
"Nom_30","Finance",51
"Nom_553","Ventes",51
"Nom_333","Opérations",51
"Nom_428","Ventes",51
"Nom_1420","Ventes",51
"Nom_1419","Direction Générale",51
"Nom_482","Direction Générale",51
"Nom_1421","Direction Générale",51
"Nom_104","Ressources Humaines",51
"Nom_825","Informatique",51
"Nom_117","Service Client",51
"Nom_178","Juridique",51
"Nom_886","Marketing",51
"Nom_987","Direction Générale",51
"Nom_1263","Informatique",51
"Nom_404","Informatique",51
"Nom_681","Informatique",51
"Nom_1003","Informatique",51
"Nom_812","Ventes",51
"Nom_529","Finance",51
"Nom_69","Direction Générale",51
"Nom_1057","Marketing",51
"Nom_288","Opérations",51
"Nom_1104","Service Client",51
"Nom_91","Juridique",51
"Nom_1337","Juridique",51
"Nom_1190","Data & Analytics",51
"Nom_1292","Juridique",51
"Nom_697","Data & Analytics",51
"Nom_1234","Data & Analytics",51
"Nom_274","Informatique",51
"Nom_305","Service Client",51
"Nom_1007","Ressources Humaines",51
"Nom_733","Data & Analytics",51
"Nom_1217","Service Client",51
"Nom_465","Ressources Humaines",51
"Nom_295","Data & Analytics",51
"Nom_973","Ressources Humaines",51
"Nom_250","Juridique",51
"Nom_431","Informatique",51
"Nom_1210","Opérations",51
"Nom_301","Ventes",51
"Nom_325","Opérations",51
"Nom_807","Marketing",51
"Nom_1363","Juridique",51
"Nom_975","Opérations",51
"Nom_1414","Juridique",51
"Nom_741","Informatique",51
"Nom_745","Service Client",51
"Nom_957","Direction Générale",51
"Nom_609","Marketing",51
"Nom_582","Informatique",51
"Nom_658","Ventes",51
"Nom_592","Ressources Humaines",51
"Nom_298","Data & Analytics",51
"Nom_111","Ventes",51
"Nom_292","Data & Analytics",51
"Nom_864","Informatique",51
"Nom_1201","Juridique",51
"Nom_1038","Ressources Humaines",51
"Nom_1384","Finance",51
"Nom_684","Ventes",51
"Nom_903","Opérations",51
"Nom_1411","Ressources Humaines",51
"Nom_526","Ressources Humaines",51
"Nom_1290","Direction Générale",51
"Nom_285","Direction Générale",51
"Nom_436","Direction Générale",51
"Nom_1439","Informatique",51
"Nom_754","Marketing",51
"Nom_296","Service Client",51
"Nom_706","Finance",51
"Nom_1001","Service Client",51
"Nom_464","Ressources Humaines",51
"Nom_1298","Ventes",51
"Nom_939","Ressources Humaines",51
"Nom_1344","Data & Analytics",51
"Nom_543","Marketing",51
"Nom_856","Direction Générale",51
"Nom_912","Juridique",51
"Nom_888","Data & Analytics",51
"Nom_212","Informatique",51
"Nom_477","Marketing",51
"Nom_202","Ressources Humaines",51
"Nom_1147","Juridique",51
"Nom_1483","Ventes",51
"Nom_434","Marketing",51
"Nom_1115","Data & Analytics",51
"Nom_1326","Direction Générale",51
"Nom_625","Informatique",51
"Nom_55","Marketing",51
"Nom_722","Finance",51
"Nom_1275","Ressources Humaines",51
"Nom_1355","Finance",51
"Nom_1205","Informatique",51
"Nom_1082","Direction Générale",51
"Nom_548","Data & Analytics",51
"Nom_124","Service Client",51
"Nom_461","Direction Générale",51
"Nom_769","Marketing",51
"Nom_353","Service Client",51
"Nom_1031","Service Client",51
"Nom_518","Informatique",51
"Nom_1035","Marketing",51
"Nom_128","Ressources Humaines",51
"Nom_1017","Ressources Humaines",51
"Nom_887","Opérations",51
"Nom_450","Finance",51
"Nom_1170","Juridique",51
"Nom_822","Ressources Humaines",51
"Nom_801","Marketing",51
"Nom_1388","Finance",51
"Nom_82","Direction Générale",51
"Nom_1396","Informatique",51
"Nom_602","Finance",51
"Nom_142","Juridique",51
"Nom_272","Juridique",51
"Nom_455","Marketing",51
"Nom_185","Data & Analytics",51
"Nom_475","Ressources Humaines",51
"Nom_606","Ventes",51
"Nom_660","Finance",51
"Nom_233","Juridique",51
"Nom_11","Service Client",51
"Nom_462","Finance",51
"Nom_304","Finance",51
"Nom_137","Data & Analytics",51
"Nom_4","Finance",51
"Nom_1164","Service Client",51
"Nom_220","Service Client",51
"Nom_785","Ventes",51
"Nom_926","Finance",51
"Nom_191","Juridique",51
"Nom_719","Ressources Humaines",51
"Nom_1370","Direction Générale",51
"Nom_698","Marketing",51
"Nom_1361","Juridique",51
"Nom_970","Data & Analytics",51
"Nom_986","Opérations",51
"Nom_1346","Ressources Humaines",51
"Nom_354","Service Client",51
"Nom_1490","Marketing",51
"Nom_612","Opérations",51
"Nom_1301","Service Client",51
"Nom_1026","Ressources Humaines",51
"Nom_1165","Direction Générale",51
"Nom_127","Informatique",51
"Nom_10","Ventes",51
"Nom_631","Marketing",51
"Nom_52","Ventes",51
"Nom_38","Ventes",51
"Nom_635","Juridique",51
"Nom_1312","Finance",51
"Nom_897","Direction Générale",51
